sex,age,unit,icd10,geo,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
T,TOTAL,RT,I20-I25,AT,2492.2,2417.1,2292.4,2224.8,2187.1,2139.9,2056,1972,1919.4,1840.4,1777.1,1715.2
T,TOTAL,RT,I20-I26,BE,1688.7,811.2,773.7,759.5,737.8,715.4,1487.2,1380.7,1290.7,1198.4,1135.4,1063.2
T,TOTAL,RT,I20-I27,BG,2440.8,2296.5,2169,2145.7,2115.4,2032.8,1881.9,1726.4,1584.5,1457.4,1344.2,1276.9
T,TOTAL,RT,I20-I28,CH,1392.7,1360.9,1296.9,1239.1,1182.3,1125.3,1085.3,1035.3,1003.5,958.2,914.4,867.6
T,TOTAL,RT,I20-I29,CZ,3082.3,2931.8,2865.2,2786.2,2758.9,2681.5,2705.8,2688,2833.8,2847,2872.6,2755
T,TOTAL,RT,I20-I30,DE,,,8771.2,8650.1,8581.8,8337.3,7961.1,7442.8,7015.5,6602.4,6310.7,6067.2
T,TOTAL,RT,I20-I31,EL,1800.5,1766.5,1802.7,1814,1861,1863.1,1793.3,1690.2,1587.1,1499.8,1408.8,1309.4
T,TOTAL,RT,I20-I32,ES,2425.9,2354,2278,2211.5,2184.7,2104.4,2036.6,1932.5,1878.3,1771.1,1695.5,1606.5
T,TOTAL,RT,I20-I33,FI,587.1,598.4,580,533.9,521.9,520.5,500.9,469,446.8,1232,1185.2,1146.6
T,TOTAL,RT,I20-I34,FR,2190.9,2156.2,2329.3,2283,2234,2155.4,2065.4,1934.2,1832.2,1743.6,1665.3,1589.6
T,TOTAL,RT,I20-I35,HU,3178.4,3121.3,3040.4,2961.2,3015.8,3080.4,3300.3,3352.9,3321.2,3121.5,2995.4,2942.9
T,TOTAL,RT,I20-I36,IE,707.7,676.1,631.5,592.4,552.2,518.4,473.4,445.3,433.4,427.4,417.6,391.7
T,TOTAL,RT,I20-I37,IT,2959.5,2858.2,2722.8,2668.1,2726.4,,,,,2353.7,2260.2,2176.1
T,TOTAL,RT,I20-I38,NL,2160,2043.9,1934.4,1822.5,1726.8,1598.4,1478.3,1345.3,1253.5,1164,1085.1,1009.1
T,TOTAL,RT,I20-I39,NO,1768.4,1694.9,1618.6,1542.4,1471.4,1380.3,1249.5,1138.6,1064.9,1020.4,978.4,931.7
T,TOTAL,RT,I20-I40,PL,4081.2,3946.4,3798.7,3605.6,3449.4,3300.8,3182.3,3090.3,2515.3,2475.7,2386.8,2706.1
T,TOTAL,RT,I20-I41,PT,1003,989.1,979.6,984.5,984.4,953.3,903,822.1,770.4,723.8,699.6,660.7
T,TOTAL,RT,I20-I42,RO,3845.9,3686.4,3607.2,3548.9,3552.9,3518.6,3440.1,3376,3280.6,3149.7,3023.8,2972.4
T,TOTAL,RT,I20-I43,SE,2180.9,2096.8,2010,1943.1,1898.3,1823.2,1744.8,1665.8,1597.6,1532,1457.9,1397.7
T,TOTAL,RT,I20-I44,SI,,,,,,,,,,258.7,249.5,243.5
T,TOTAL,RT,I20-I45,SK,2124.1,2165.4,,2258.2,2297.2,2289.4,2261.5,2121.3,2065.2,2085.2,2151.9,2148.1
T,TOTAL,RT,I20-I46,UK,8890.6,8474.1,8026.7,7650.3,7358.7,6962.5,6536.8,6055.2,5668.2,5316.4,4997.2,4701.7
