year,Ammonia thousand tonnes,Ammonia Index,Nitrogen Oxides million tonnes,Nitrogen Oxides Index,Sulphur Dioxide million tonnes,Sulphur Dioxide Index,Non-methane volatile organic compounds million tonnes,Non-methane volatile organic compounds Index,pm10 thousand tonnes,pm10 Index,pm2.5 thousand tonnes,pm2.5 Index
1970,,,2.677209587,100.00,6.325907092,100.00,2.03127305,100.00,465.3088704,100.00,409.5592059,100.00
1971,,,2.664093067,99.51,5.982669203,94.57,2.044572705,100.65,423.8062978,91.08,366.3260748,89.44
1972,,,2.642591556,98.71,5.746354335,90.84,2.074307759,102.12,387.1829272,83.21,327.1955205,79.89
1973,,,2.786769759,104.09,5.903154324,93.32,2.177143627,107.18,399.2381374,85.80,332.1235228,81.09
1974,,,2.625452368,98.07,5.417761884,85.64,2.149002356,105.80,373.6271292,80.30,312.227439,76.23
1975,,,2.568843106,95.95,5.174703672,81.80,2.04932563,100.89,344.9133427,74.13,278.5964696,68.02
1976,,,2.616262451,97.72,4.994976654,78.96,2.130690308,104.89,342.5625349,73.62,273.7469954,66.84
1977,,,2.643592348,98.74,5.007306513,79.16,2.222457831,109.41,345.72355,74.30,276.106042,67.42
1978,,,2.690767916,100.51,5.060514215,80.00,2.264300628,111.47,337.394194,72.51,264.5865863,64.60
1979,,,2.789169523,104.18,5.381625728,85.07,2.32962429,114.69,347.5963633,74.70,270.6774412,66.09
1980,351.0638918,100.00,2.670694985,99.76,4.757546929,75.21,2.254843575,111.01,315.6890566,67.85,238.8480526,58.32
1981,350.416047,99.82,2.581655074,96.43,4.327556308,68.41,2.219455621,109.26,302.8186857,65.08,227.5273427,55.55
1982,354.1726307,100.89,2.558928618,95.58,4.1279801,65.26,2.262078171,111.36,295.2222637,63.45,222.1243102,54.23
1983,357.2325372,101.76,2.557513323,95.53,3.812964808,60.28,2.27781224,112.14,290.4141031,62.41,215.6254795,52.65
1984,348.8948066,99.38,2.511876167,93.82,3.658029909,57.83,2.335050227,114.96,253.7907503,54.54,189.6207946,46.30
1985,348.7259,99.33,2.603927593,97.26,3.684596757,58.25,2.36621004,116.49,286.6586966,61.61,215.5745122,52.64
1986,344.7361891,98.20,2.702593248,100.95,3.831473733,60.57,2.423345785,119.30,297.8493287,64.01,223.2929307,54.52
1987,343.3571762,97.80,2.79999148,104.59,3.82400719,60.45,2.497730088,122.96,293.1112836,62.99,212.5004246,51.89
1988,336.0717279,95.73,2.86240694,106.92,3.759014243,59.42,2.575196828,126.78,285.1484648,61.28,201.2504812,49.14
1989,332.3084877,94.66,2.890586797,107.97,3.631795091,57.41,2.639628447,129.95,279.2253259,60.01,194.685784,47.54
1990,344.0254324,98.00,2.880393003,107.59,3.681490465,58.20,2.721091856,133.96,274.5118828,59.00,188.7616605,46.09
1991,351.4602175,100.11,2.771799919,103.53,3.525465128,55.73,2.657765467,130.84,274.2008656,58.93,190.1373734,46.42
1992,339.4830264,96.70,2.709423851,101.20,3.457082343,54.65,2.581844408,127.10,266.0193171,57.17,185.2938436,45.24
1993,335.3299821,95.52,2.542554317,94.97,3.118334624,49.29,2.464063761,121.31,256.6661144,55.16,181.1857462,44.24
1994,338.3231265,96.37,2.432223391,90.85,2.657607242,42.01,2.381292817,117.23,246.9470448,53.07,171.3223559,41.83
1995,330.6459249,94.18,2.31605493,86.51,2.365583775,37.40,2.202512438,108.43,222.3520297,47.79,153.2593801,37.42
1996,333.8714267,95.10,2.212544278,82.64,2.011599736,31.80,2.130796057,104.90,218.9306783,47.05,151.5924023,37.01
1997,343.1517762,97.75,2.041781561,76.27,1.651090571,26.10,2.031848649,100.03,214.844106,46.17,151.7715073,37.06
1998,332.3841795,94.68,1.983600238,74.09,1.626133554,25.71,1.878613357,92.48,201.1187111,43.22,138.8166896,33.89
1999,333.9913345,95.14,1.866717817,69.73,1.242814862,19.65,1.700704461,83.73,191.5708767,41.17,134.6334119,32.87
2000,322.3253203,91.81,1.79772442,67.15,1.217263059,19.24,1.56666731,77.13,179.0878531,38.49,120.5209591,29.43
2001,320.8527011,91.39,1.758281605,65.68,1.132102382,17.90,1.48520519,73.12,177.0708211,38.05,117.8390043,28.77
2002,313.832935,89.39,1.678904293,62.71,1.01143457,15.99,1.401366197,68.99,155.3034214,33.38,102.827182,25.11
2003,304.1535908,86.64,1.660860706,62.04,0.989054836,15.63,1.291847136,63.60,153.5614777,33.00,101.2328863,24.72
2004,309.7290499,88.23,1.607018286,60.03,0.832808235,13.17,1.211352856,59.64,150.8762671,32.42,98.06456543,23.94
2005,304.4428413,86.72,1.586448008,59.26,0.709562391,11.22,1.136126937,55.93,147.2538873,31.65,95.98602365,23.44
2006,300.5415328,85.61,1.541660099,57.58,0.669516748,10.58,1.090466125,53.68,146.8279855,31.55,94.86506535,23.16
2007,292.1641803,83.22,1.471241031,54.95,0.589316253,9.32,1.053987883,51.89,142.7575292,30.68,92.55875224,22.60
2008,278.2718253,79.27,1.324860626,49.49,0.491556572,7.77,0.974680311,47.98,137.5792507,29.57,90.0971436,22.00
2009,277.656474,79.09,1.148509255,42.90,0.398851226,6.31,0.88343562,43.49,126.6841806,27.23,83.85762684,20.48
2010,278.9797509,79.47,1.122996527,41.95,0.427559275,6.76,0.855204554,42.10,129.4624699,27.82,86.88639103,21.21
2011,279.1709509,79.52,1.051297182,39.27,0.39097362,6.18,0.835202935,41.12,123.3826294,26.52,81.22121621,19.83
2012,274.8833309,78.30,1.072867451,40.07,0.439681259,6.95,0.823579537,40.54,125.4791719,26.97,82.17432716,20.06
2013,271.3094972,77.28,1.019671597,38.09,0.393156681,6.22,0.802996539,39.53,123.4779032,26.54,81.51903291,19.90
